name	version	source	checksum	license
crossbeam-deque	0.8.7	registry+https://github.com/rust-lang/crates.io-index	5181e0de7b61eb03a81e347d6dd8797bae9da5146707b51077e2d71a54ec0ceb	MIT OR Apache-2.0
crossbeam-epoch	0.9.20	registry+https://github.com/rust-lang/crates.io-index	2d6914041f254d6e9176c01941b21115dcfb7089e55135a35411081bd106ef3f	MIT OR Apache-2.0
crossbeam-queue	0.3.13	registry+https://github.com/rust-lang/crates.io-index	803d13fb3b09d88be9f4dbc29062c66b19bf7170867ceb746d2a8689bf6c7a26	MIT OR Apache-2.0
crossbeam-utils	0.8.22	registry+https://github.com/rust-lang/crates.io-index	61803da095bee82a81bb1a452ecc25d3b2f1416d1897eb86430c6159ef717c17	MIT OR Apache-2.0
crunchy	0.2.4	registry+https://github.com/rust-lang/crates.io-index	460fbee9c2c2f33933d720630a6a0bac33ba7053db5344fac858d4b8952d77d5	MIT
crypto-bigint	0.5.5	registry+https://github.com/rust-lang/crates.io-index	0dc92fb57ca44df6db8059111ab3af99a63d5d0f8375d9972e319a379c6bab76	Apache-2.0 OR MIT
crypto-common	0.1.7	registry+https://github.com/rust-lang/crates.io-index	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	MIT OR Apache-2.0
crypto-common	0.2.2	registry+https://github.com/rust-lang/crates.io-index	ce6e4c961d6cd6c9a86db418387425e8bdeaf05b3c8bc1411e6dca4c252f1453	MIT OR Apache-2.0
crypto-mac	0.8.0	registry+https://github.com/rust-lang/crates.io-index	b584a330336237c1eecd3e94266efb216c56ed91225d634cb2991c5f3fd1aeab	MIT OR Apache-2.0
ctr	0.9.2	registry+https://github.com/rust-lang/crates.io-index	0369ee1ad671834580515889b80f2ea915f23b8be8d0daa4bbaf2ac5c7590835	MIT OR Apache-2.0
ctutils	0.4.2	registry+https://github.com/rust-lang/crates.io-index	7d5515a3834141de9eafb9717ad39eea8247b5674e6066c404e8c4b365d2a29e	Apache-2.0 OR MIT
curve25519-dalek	3.2.0	registry+https://github.com/rust-lang/crates.io-index	0b9fdf9972b2bd6af2d913799d9ebc165ea4d2e65878e329d9c6b372c4491b61	BSD-3-Clause
