ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,16,0,0,0
ok,16,0,0,0
ok,16,0,0,0
ok,8,8,0,0
ok,0,16,0,0
ok,0,8,8,0
ok,0,0,16,0
ok,0,0,8,8
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,63,0,0,0
ok,63,0,0,0
ok,63,0,0,0
ok,32,31,0,0
ok,0,63,0,0
ok,0,32,31,0
ok,0,0,63,0
ok,0,0,32,31
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
